OrderID,CustomerID,EmployeeID,OrderDate,ShipperID,,,,
10308,2,7,9/18/96,3,,,,
10365,3,3,11/27/96,2,,,,
10355,4,6,11/15/96,1,,,,
10383,4,8,12/16/96,3,,,,
10278,5,8,8/12/96,2,,,,
10280,5,2,8/14/96,1,,,,
10384,5,3,12/16/96,3,,,,
10265,7,2,7/25/96,1,,,,
10297,7,5,9/4/96,2,,,,
10360,7,4,11/22/96,3,,,,
10436,7,3,2/5/97,2,,,,
10326,8,4,10/10/96,2,,,,
10331,9,9,10/16/96,1,,,,
10340,9,1,10/29/96,3,,,,
10362,9,3,11/25/96,1,,,,
10389,10,4,12/20/96,2,,,,
10410,10,3,1/10/97,3,,,,
10411,10,9,1/10/97,3,,,,
10431,10,4,1/30/97,2,,,,
10289,11,7,8/26/96,3,,,,
10259,13,4,7/18/96,3,,,,
10254,14,5,7/11/96,2,,,,
10370,14,6,12/3/96,2,,,,
10290,15,8,8/27/96,1,,,,
10435,16,8,2/4/97,2,,,,
10363,17,4,11/26/96,3,,,,
10391,17,3,12/23/96,3,,,,
10311,18,1,9/20/96,3,,,,
10364,19,1,11/26/96,1,,,,
10400,19,1,1/1/97,3,,,,
10258,20,1,7/17/96,1,,,,
10263,20,9,7/23/96,3,,,,
10351,20,1,11/11/96,1,,,,
10368,20,2,11/29/96,2,,,,
10382,20,4,12/13/96,1,,,,
10390,20,6,12/23/96,1,,,,
10402,20,8,1/2/97,2,,,,
10403,20,4,1/3/97,3,,,,
10430,20,4,1/30/97,1,,,,
10442,20,3,2/11/97,2,,,,
10347,21,4,11/6/96,3,,,,
10386,21,9,12/18/96,3,,,,
10414,21,2,1/14/97,3,,,,
10408,23,8,1/8/97,1,,,,
10264,24,6,7/24/96,3,,,,
10327,24,2,10/11/96,1,,,,
10378,24,5,12/10/96,3,,,,
10434,24,3,2/3/97,2,,,,
10267,25,4,7/29/96,1,,,,
10337,25,4,10/24/96,3,,,,
10342,25,4,10/30/96,2,,,,
10396,25,1,12/27/96,3,,,,
10422,27,2,1/22/97,1,,,,
10328,28,4,10/14/96,3,,,,
10352,28,3,11/12/96,3,,,,
10366,29,8,11/28/96,2,,,,
10426,29,4,1/27/97,1,,,,
10303,30,7,9/11/96,2,,,,
10423,31,6,1/23/97,3,,,,
10268,33,8,7/30/96,3,,,,
10250,34,4,7/8/96,2,,,,
10253,34,3,7/10/96,2,,,,
10257,35,4,7/16/96,3,,,,
10395,35,6,12/26/96,1,,,,
10375,36,3,12/6/96,2,,,,
10394,36,1,12/25/96,3,,,,
10415,36,3,1/15/97,1,,,,
10298,37,6,9/5/96,2,,,,
10309,37,3,9/19/96,1,,,,
10335,37,7,10/22/96,2,,,,
10373,37,4,12/5/96,3,,,,
10380,37,8,12/12/96,3,,,,
10429,37,3,1/29/97,2,,,,
10315,38,4,9/26/96,2,,,,
10318,38,8,10/1/96,2,,,,
10321,38,3,10/3/96,2,,,,
10323,39,4,10/7/96,1,,,,
10325,39,1,10/9/96,3,,,,
10350,41,6,11/11/96,2,,,,
10358,41,5,11/20/96,1,,,,
10371,41,1,12/3/96,1,,,,
10413,41,3,1/14/97,2,,,,
10425,41,6,1/24/97,2,,,,
10279,44,8,8/13/96,2,,,,
10284,44,4,8/19/96,1,,,,
10343,44,4,10/31/96,1,,,,
10283,46,3,8/16/96,3,,,,
10296,46,6,9/3/96,1,,,,
10330,46,3,10/16/96,1,,,,
10357,46,1,11/19/96,3,,,,
10381,46,3,12/12/96,3,,,,
10405,47,1,1/6/97,1,,,,
10307,48,2,9/17/96,2,,,,
10317,48,6,9/30/96,1,,,,
10275,49,1,8/7/96,1,,,,
10300,49,2,9/9/96,2,,,,
10404,49,2,1/3/97,1,,,,
10332,51,3,10/17/96,2,,,,
10339,51,2,10/28/96,2,,,,
10376,51,1,12/9/96,2,,,,
10424,51,7,1/23/97,2,,,,
10439,51,6,2/7/97,3,,,,
10277,52,2,8/9/96,3,,,,
10409,54,3,1/9/97,1,,,,
10260,55,4,7/19/96,1,,,,
10305,55,8,9/13/96,3,,,,
10338,55,4,10/25/96,3,,,,
10441,55,3,2/10/97,2,,,,
10407,56,2,1/7/97,2,,,,
10322,58,7,10/4/96,3,,,,
10354,58,8,11/14/96,3,,,,
10353,59,7,11/13/96,3,,,,
10392,59,2,12/24/96,3,,,,
10427,59,4,1/27/97,2,,,,
10336,60,7,10/23/96,2,,,,
10397,60,5,12/27/96,1,,,,
10433,60,3,2/3/97,3,,,,
10261,61,4,7/19/96,2,,,,
10291,61,6,8/27/96,2,,,,
10379,61,2,12/11/96,1,,,,
10421,61,8,1/21/97,1,,,,
10372,62,5,12/4/96,2,,,,
10406,62,7,1/7/97,1,,,,
10273,63,3,8/5/96,3,,,,
10285,63,1,8/20/96,2,,,,
10286,63,8,8/21/96,3,,,,
10313,63,2,9/24/96,2,,,,
10345,63,2,11/4/96,2,,,,
10361,63,1,11/22/96,2,,,,
10418,63,4,1/17/97,1,,,,
10262,65,8,7/22/96,3,,,,
10272,65,6,8/2/96,2,,,,
10294,65,4,8/30/96,2,,,,
10314,65,1,9/25/96,2,,,,
10316,65,1,9/27/96,3,,,,
10346,65,3,11/5/96,3,,,,
10401,65,1,1/1/97,1,,,,
10288,66,4,8/23/96,1,,,,
10428,66,7,1/28/97,1,,,,
10443,66,8,2/12/97,1,,,,
10287,67,8,8/22/96,3,,,,
10299,67,4,9/6/96,2,,,,
10255,68,9,7/12/96,3,,,,
10419,68,4,1/20/97,2,,,,
10281,69,4,8/14/96,1,,,,
10282,69,4,8/15/96,1,,,,
10306,69,1,9/16/96,3,,,,
10387,70,1,12/18/96,2,,,,
10324,71,9,10/8/96,1,,,,
10393,71,1,12/25/96,3,,,,
10398,71,2,12/30/96,3,,,,
10440,71,4,2/10/97,2,,,,
10359,72,5,11/21/96,3,,,,
10377,72,1,12/9/96,3,,,,
10388,72,2,12/19/96,1,,,,
10341,73,7,10/29/96,3,,,,
10417,73,4,1/16/97,3,,,,
10271,75,6,8/1/96,2,,,,
10329,75,4,10/15/96,2,,,,
10349,75,7,11/8/96,1,,,,
10369,75,8,12/2/96,2,,,,
10385,75,1,12/17/96,2,,,,
10432,75,3,1/31/97,2,,,,
10252,76,4,7/9/96,2,,,,
10302,76,4,9/10/96,2,,,,
10310,77,8,9/20/96,2,,,,
10438,79,3,2/6/97,2,,,,
10276,80,8,8/8/96,3,,,,
10293,80,1,8/29/96,3,,,,
10304,80,1,9/12/96,2,,,,
10319,80,7,10/2/96,3,,,,
10249,81,6,7/5/96,1,,,,
10292,81,1,8/28/96,2,,,,
10367,83,7,11/28/96,3,,,,
10399,83,8,12/31/96,3,,,,
10251,84,3,7/8/96,1,,,,
10334,84,8,10/21/96,2,,,,
10274,85,6,8/6/96,1,,,,
10295,85,2,9/2/96,2,,,,
10301,86,8,9/9/96,2,,,,
10312,86,2,9/23/96,2,,,,
10348,86,4,11/7/96,2,,,,
10356,86,6,11/18/96,2,,,,
10266,87,3,7/26/96,3,,,,
10270,87,1,8/1/96,1,,,,
10320,87,5,10/3/96,3,,,,
10333,87,5,10/18/96,3,,,,
10412,87,8,1/13/97,2,,,,
10416,87,8,1/16/97,3,,,,
10437,87,8,2/5/97,1,,,,
10256,88,3,7/15/96,2,,,,
10420,88,3,1/21/97,1,,,,
10269,89,5,7/31/96,1,,,,
10344,89,4,11/1/96,2,,,,
10248,90,5,7/4/96,3,,,,
10374,91,1,12/5/96,3,,,,